#  DIFICULDADE | PERGUNTA | RESPOSTA (VERDADEIRA) | RESPOSTA 1 (FALSA) | RESPOSTA 2 (FALSA) | RESPOSTA 3 (FALSA) | RESPOSTA 4 (FALSA)
Easy | Quais são as cores do uniforme do Personagem Chapolin Colorado? | Amarelo e Vermelho | Azul e Laranja | Verde e Amarelo | preto e branco | verde e vermelho
Medium | Quem pintou o teto da Capela Sistina? | Michelangelo | Rafael | Leonardo Da Vinci | Donatello | sandro botticelli
Medium | Qual é a cidade mais populosa do mundo? | Tóquio | Delhi | Bangkok | cidade do méxico | São Paulo
Medium | Qual é a capital da Índia? | Nova Delhi | Jaipur | Bangalore | Bangkok | Bagdá
Medium | Qual foi a primeira capital estabelecida do brasil? | Salvador | Rio de Janeiro | Porto Alegre | Brasília | São Paulo
Medium | Quem foi o principal responsável pela criação do ENIAC? | Alan Turing | John von Neumann | Ada Lovelace | Konrad Fuze | Charles babbage
Medium | Quem foi o principal responsável pela instauração da república no brasil? | Deodoro da Fonseca | Floriano Peixoto | Hermes da Fonseca | Campos Sales | José Bonifácio
Medium | Quantos anos Jesus Cristo tinha quando foi crucificado? | 33 | 30 | 28 | 40 | 36
Medium | Qual é o nome do homem que batizou Jesus Cristo? | João Batista | São Paulo | São José | São Marcos  | Herodes
Medium | Qual é o menor país do mundo? | Vaticano | Cingapura | Havaí | Montenegro | Chipre
Medium | Qual é a ferramenta usada antigamente para fazer cálculos simples de matemática? | Ábaco | Compasso | Astrolábio | Bússola | Mapa
Medium | Qual é a cidade mais populosa do Brasil? | São paulo | Rio de Janeiro | Curitiba | Belo Horizonte | Campinas
Medium | Qual é o nome da união da coroa portuguesa e espanhola entre os anos de 1580 e 1640? | União Ibérica | União Portuguesa | União Espanhola | União Hispânica | União Latina
Medium | Qual é o nome do Ditador responsável pela disseminação da ideologia fascista na Itália durante o século XX? | Benito Mussolini | Vitor Emmanuel III | Italo Balbo | Giuseppe Mazzini | Giovanne Gentili
Medium | Qual é a linguagem de programação mais usada do mundo? | JavaScript | Python | R Language | C++ | Java
Medium | Qual é a linguagem de programação mais próxima da linguagem de máquina? | Assembly | Java | C | COBOL | Fortran | Python
Medium | Qual foi o evento que deu início à Segunda Guerra Mundial? | Invasão Alemã da polônia | Bombardeio de Pearl Harbor | Tratado de Munique | Invasão Alemã a União Soviética | Bombardeio de Dresden
Medium | Qual é o nome do primeiro imperador do império romano? | Caesar Augustus | Trajano | Cômodo | Julio Caesar | Nero
Medium | Qual é o nome do ditador brasileiro que foi reeleito como presidente após ser deposto? | Getúlio Vargas | Castelo Branco | João Figueiredo | Emílio Médici | Costa e silva
Medium | Qual é o maior deserto do mundo? | Antártida | Saara | Ártico | Arábia | Kalahari
Medium | Quem escreveu a obra "O Senhor dos Anéis"? | J.R.R Tolkien | C.S Lewis | J. K. Rowling | Franz Kafka | Stephen King
Medium | Quem foi o inventor da lâmpada elétrica? | Thomas Edison | Nikola Tesla | James Watt | Karl Benz | Graham Bell
Medium | Quem foi o líder norte-americano conhecido como o "pai fundador" e primeiro presidente dos Estados Unidos? | George Washington | Alexander Hamilton | James Jay | Benjamin Franklin | John Adams
Medium | Qual é o maior lago do mundo? | Mar Cáspio |  Lago Ness | Mar Vermelho | Rio Guaiba | Baía da Babitonga
Medium | Quem foi o presidente dos Estados Unidos durante a Guerra Civil Americana? | Abraham Lincoln | George Washington | John Adams | James Monroe | Alexander Hamilton
Hard | Quem é a pessoa mais rica do Brasil em 2023? | Jorge Paulo Lemann | Lúcia Maggi | Luciano Hang | Eduardo Saverin | Alexandre Behring
Hard | Qual é o nome do último imperador do império Alemão? | Guilherme II | Otto von Bismarck | Francisco José I| Adolf Hitler | Monark
Hard | Qual é o nome do militar e político prussiano responsável pela unificação alemão? | Otto von Bismarck | Adolf Hitler | Frederico Barbarossa | Carlos V | Francisco Ferdinando
Hard | Quem foi o criador do prêmio Nobel? | alfred Nobel | James Nobel | Nobelios Georgiou | Nobert Smith | Norberto Silva
Hard | Que evento determinou o fim da idade média e o início da idade moderna? | Queda de constantinopla | revolução francesa | Revolução Industrial | Guerra dos cem anos | Batalha de Poitiers
Hard | Que filósofo alemão foi responsável pela criação do conceito de "übermensch"? | Friedrich Nietzsche | Immanuel Kant | Friedrich Hegel | René Descartes | Arthur Schopenhauer
Hard | Qual é o nome mordomo da Família Addams? | Tropeço | Wandinha | Mãozinha | Chico Addams | Gomez Addams
Hard | Em que ano foi criado a linguagem de programação Python? | 1989 | 1986 | 1990 | 1994 | 1997
Hard | Quem foi responsável pela criação das primeiras linhas de produção? | Henry Ford | Kiichiro Toyoda | Karl Benz | Ferdinand Porsche | Alfonso Ferrero
Hard | Quem foi o criador do Linux? | Linus Torvalds | James Gosling | Charles Babbage | Linus Gosling | Charles Linuxios
Hard | Quem escreveu a obra "A Metamorfose"? | Franz Kafka | Paulo Kogos | Paulo Freire | Fiodor Dostoievski | Leon Tolstoi
Hard | Quem foi o último presidente militar durante a ditadura militar brasileira? | João Figueiredo | Costa e Silva | Castelo Branco | Emilio Médici | Ernesto Geisel
Hard | Quem foi o autor conhecido como “pai da história”? | Heródoto | Homero | Plutarco | Xenofonte | Aristóteles
Hard | Quem foi o autor da obra "A Ilíada"? | Homero | Heródoto | Plutarco | Xenofonte | Tales de Mileto
Hard | Qual é o país com a maior população do continente africano? | Nigéria | Egito | África do Sul | Marrocos | Quênia
Hard | Quem foi o presidente dos Estados Unidos durante a Segunda Guerra Mundial? | Franklin D. Roosevelt | Theodore Roosevelt | Wilson Woodrow | William Dudley Pelley | Richard Nixon
Hard | Qual foi o primeiro-ministro britânico que anunciou a entrada do Reino Unido na Segunda Guerra Mundial? | Neville Chamberlain | Winston Churchill | Stanley Baldwin | Anthony Eden | Clement Attlee
Hard | Quem foi o aspirante a político paulista conhecido pela sua onipresença e suas “rages” na internet? | Paulo Kogos | Monark | Artur do Val | Kim Kataguiri | Nicolas Ferreira
Hard | Quem foi o líder militar francês responsável pela retomada do território francês da ocupação alemã durante a Segunda Guerra Mundial? | Charles de Gaulle | Philippe Pétain | Jacques Chirac | Henri Giraud | François Hollande
Hard | Qual é o nome da região da europa em que se situa o país da Grécia? | Península Balcânica | Península Ibérica | Península Escandinava | Baltico | Cáucaso
Hard | Qual é o nome do reino que dominou a região da Rússia após a dissolução do império Mongol? | Horda Dourada | Bulgária | Cumania | Tartária | Khazaria
Hard | Em que língua originalmente foram escritos os livros do novo testamento bíblico? | Grego | Aramaico | Latim | Francês | Alemão
Hard | Que imperador romano ganhou o título de Optimus Princeps ("melhor governante")? | Trajano | Calígula | Marco Aurélio | Nerva | Domiciano
Hard | Quem escreveu a obra "O Príncipe"? | Nicolau maquiavel | Dante Alighieri | John Locke | Thomas Hobbes | Montesquieu
Hard | Qual é o nome da dinastia que formou o Czarado da Rússia? | Rurikovich | Romanov | Habsburg | Yamato | Hohenzollern
Hard | Qual foi o tratado que determinou a repartição da checoslováquia em 1938? | tratado de Munique | Tratado de Varsóvia | Tratado de Versalhes | Tratado de Trianon | Tratado de Tordesilhas
